State,Guantanamo Bay,Jerusalem,Drug Overdose,Chain Migration,Vocational Schools,MS-13,Prison,Parental Leave,ICE,Diversity Immigrant Visa,Automotive Industry,Manufacturing,Veterans,Veteran Affairs,National Anthem,Wages,California Wild Fires,taxes,ISIS,trade,unemployment,energy,terrorism,drugs,opioids,immigration,ACA/Obamacare,north korea,Iran,china,Afghanistan,russia,economy,coal mining (industry),jobs,Stock Market,Tax Cuts of 2017,Tax Cuts,trade deficit,military,war,hurricane,puerto rico,gun violence,gun control,cuba,putin,mexico,NATO,Israel,Al Qaeda,Clean Power Plan,Border
New Jersey,0.13482,0.03114,0.02408,0.10176,0.00016,0.47750,0.15328,0.00722,0.03772,0.01605,0.00546,0.04510,0.04301,0.01862,0.00851,0.06613,0.00305,0.73334,0.03306,0.09438,0.12054,0.13225,0.03900,0.13579,0.04558,0.30961,0.03226,0.13514,0.03322,0.12278,0.01733,0.08956,0.06067,0.00465,0.77956,0.06853,0.00000,0.03387,0.00144,0.09775,0.20111,0.02985,0.08234,0.00177,0.00369,0.04895,0.01027,0.17382,0.00514,0.08057,0.00064,0.00048,0.02761
New Mexico,0.09232,0.02068,0.02068,0.04653,0.00000,0.38479,0.20975,0.00443,0.01477,0.01034,0.00443,0.03988,0.04284,0.03250,0.00812,0.05909,0.00443,0.77476,0.02363,0.07903,0.06056,0.10562,0.02363,0.14550,0.04062,0.14771,0.01994,0.10266,0.01034,0.08272,0.01994,0.07755,0.04801,0.00369,0.88850,0.05318,0.00000,0.01551,0.00369,0.13885,0.17061,0.01773,0.03028,0.00000,0.00369,0.03250,0.00960,0.33014,0.00295,0.04431,0.00222,0.00000,0.04358
Nevada,0.06975,0.02353,0.01583,0.04707,0.00000,0.24646,0.17800,0.00428,0.02225,0.00856,0.00385,0.03423,0.03594,0.03723,0.01027,0.06162,0.00727,0.85706,0.01883,0.08643,0.11425,0.09585,0.02011,0.13864,0.02952,0.20325,0.01754,0.08986,0.01669,0.09371,0.01369,0.07488,0.04022,0.00257,0.87888,0.05306,0.00000,0.02097,0.00000,0.14249,0.17543,0.01968,0.03166,0.00171,0.00642,0.04279,0.00770,0.32520,0.00513,0.05006,0.00086,0.00000,0.02311
New York,0.13617,0.03575,0.02356,0.09419,0.00000,0.50008,0.13718,0.00689,0.03567,0.02110,0.00493,0.03625,0.03531,0.02110,0.00703,0.06758,0.00341,0.73442,0.03509,0.08607,0.10941,0.10557,0.04234,0.13407,0.04764,0.28517,0.02581,0.13486,0.02741,0.12000,0.01486,0.10608,0.05235,0.00421,0.73660,0.06315,0.00000,0.03393,0.00080,0.09078,0.16865,0.02458,0.08063,0.00225,0.00276,0.04430,0.01175,0.17213,0.00283,0.08614,0.00152,0.00022,0.02726
Ohio,0.12035,0.02210,0.02607,0.06953,0.00015,0.40349,0.27827,0.00280,0.02828,0.01193,0.00810,0.11873,0.03506,0.03197,0.00707,0.07041,0.00295,0.87149,0.02490,0.08691,0.10179,0.10489,0.02858,0.16160,0.03403,0.18208,0.02298,0.10547,0.01282,0.07866,0.01208,0.07631,0.04567,0.00501,0.81404,0.05495,0.00000,0.03668,0.00103,0.11564,0.16469,0.01900,0.03668,0.00088,0.00412,0.02121,0.00987,0.10547,0.00457,0.04684,0.00088,0.00000,0.03094
Oklahoma,0.08479,0.01567,0.01935,0.06544,0.00046,0.34976,0.23087,0.00369,0.02488,0.00783,0.00507,0.04793,0.04746,0.03917,0.00876,0.05530,0.00968,0.84745,0.02396,0.09170,0.06820,0.14424,0.02442,0.14285,0.04424,0.16774,0.01797,0.09585,0.02074,0.07235,0.01935,0.08249,0.03640,0.00691,0.89353,0.04516,0.00000,0.02811,0.00092,0.15299,0.16636,0.01889,0.03318,0.00000,0.00276,0.02488,0.00599,0.20553,0.00276,0.04977,0.00092,0.00000,0.02488
Oregon,0.06841,0.02271,0.02052,0.04460,0.00000,0.29005,0.29908,0.00493,0.01915,0.00848,0.00438,0.06622,0.03639,0.02736,0.00547,0.08291,0.00493,0.79407,0.01888,0.09249,0.09276,0.10808,0.03256,0.11602,0.03229,0.14749,0.02025,0.08838,0.01970,0.10097,0.01122,0.09577,0.03420,0.00383,0.85290,0.05609,0.00000,0.01669,0.00082,0.09769,0.25776,0.01696,0.03667,0.00192,0.00274,0.02818,0.00739,0.22711,0.00520,0.04652,0.00109,0.00000,0.03256
Pennsylvania,0.12813,0.02926,0.02715,0.07988,0.00013,0.55469,0.16280,0.00540,0.03493,0.01345,0.00633,0.05075,0.03783,0.02650,0.00830,0.05892,0.00369,0.77865,0.03572,0.08779,0.11850,0.10796,0.03955,0.15291,0.04337,0.20656,0.02715,0.12470,0.02043,0.09056,0.01371,0.08766,0.04811,0.00751,0.82558,0.06222,0.00000,0.04310,0.00105,0.10862,0.16978,0.02070,0.06354,0.00237,0.00356,0.03177,0.00751,0.11257,0.00633,0.06077,0.00198,0.00000,0.03005
Rhode Island,0.11118,0.03503,0.03351,0.08072,0.00000,0.47368,0.11423,0.00305,0.02437,0.01523,0.00457,0.05178,0.03655,0.03198,0.01218,0.05483,0.00457,0.79200,0.02285,0.08225,0.11118,0.12794,0.04112,0.13251,0.05026,0.19191,0.01828,0.12032,0.01828,0.08682,0.01066,0.09138,0.05788,0.00152,0.86815,0.04874,0.00000,0.03655,0.00152,0.11728,0.18734,0.04265,0.05331,0.00152,0.00000,0.04417,0.00914,0.13708,0.00914,0.06702,0.00305,0.00000,0.03198
South Carolina,0.09984,0.01764,0.02205,0.06375,0.00000,0.33600,0.25901,0.00441,0.03047,0.01123,0.00481,0.04892,0.04972,0.05613,0.00882,0.05212,0.00200,0.94304,0.02486,0.08701,0.08981,0.09703,0.02366,0.17401,0.03609,0.17081,0.02125,0.11307,0.01443,0.07658,0.01524,0.07097,0.04731,0.00361,0.93422,0.05413,0.00000,0.03609,0.00200,0.14113,0.17923,0.03208,0.04090,0.00080,0.00281,0.02887,0.00922,0.15276,0.00361,0.05212,0.00120,0.00000,0.03007
