id,name
/m/0bp_wy,Oil
/m/0gty6zf,Law Enforcement
/m/01rbb,Crime
/m/01stw_,Tax Reform
/m/0d19y2,AIDS
/m/054cj7,Elementary and Secondary Education Act
/m/0cvk4l,Higher Education Act of 1965
/m/018nfl,Immigration Policy
/m/01lbc_,Middle Class
/m/0273t5w,Mortgage Loan
/m/02k71h,No Child Left Behind Act
/m/03x69g,Mental health
/m/0g54wr7,Abortion
/m/04rsd,Minimum wage
/m/0d0b8,Social security
/m/020shm,Property taxes
/m/02j4dr,Planned Parenthood
/m/0df75,Income tax
/m/0d0vp3,September 11 attacks
/m/0by51,Pensions
/m/0cttd,Torture
/m/01s5q,Capital punishment
/m/020d5,Confederate states
/m/066w7y,Legality of cannabis
/m/02xmb,Federal reserve system
/m/05k97,Nuclear power
/m/05zdp,Public transportation
/m/019wp4,Flags of the confederate states
/m/0n02l,Same-sex marriage
/m/0d4rx,Affirmative action
/m/037mm,Genetically modified organism
/m/01y3d8,Overtime pay
/m/065ds0,Aid
/m/05c4sb9,Social programs in the United States
/m/0c409dj,Common core
/m/05htt,National Security Agency
/m/02jjns,Capital gains tax
/m/02m25,Euthanasia
/m/0d063v,Global warming
/m/0d1vg,Lobbying
/m/0cs9q,Climate change
/m/0ncq5r7,Anti-abortion movements
/m/03rt1q,Military service
/m/01vnp9,National Debt of the United States
/m/027k40k,Hydraulic fracturing
/m/04zdxn,Net neutrality
/m/07sgz,First amendment
/m/0lq3t,Electoral college
/m/0h47fv,Sick leave
/g/11c31ngbhx,Executive Order 13769
/m/0857g,Whistleblower
/m/0vzv0rq,Edward Snowden
/m/0d06vc,Iraq War
/m/0c3x5rw,Student loans in the United States
/m/0ncq3y5,Abortion-rights movement
/m/03dfn,Gerrymandering
/m/03p7hr,Corporate tax
/m/03wn_,Immigration to the United States
/m/01084xdd,Body worn video
/m/01xwmy,Campaign finance
/m/0gg506b,Syrian civil war
/m/03y_5,Estate tax in the United States
/m/04c6s3,Military budget
/m/04g_71,Government spending
/m/02wvjc7,Sanctuary cities
/m/015hgk,Gender identity
/m/0127bq,Eminent domain
/m/0717w,Space exploration
/m/02n_pt,Voter turnout
/m/0cglt,Freedom of religion
/m/0rfbfzq,Basic income
/m/0d_fsc,War in Afghanistan
/m/01nblf,Solitary confinement
/m/083n9_,Dream act
/m/03gq3gl,Equal pay for equal work
/m/04crl_8,Safe spaces
/g/11bxb8pd3y,Paris Agreement
/m/09pvyj,Vaccine controversies
/m/0c3tl_f,Chelsea Manning
/m/03bwzfx,Alternative energy
/m/020c10,Offshore bank
/m/031w5l,Mexico-United States barrier
/m/0hj49,Political corruption
/m/043t_dm,Drug policy
/m/0130z8kf,Joint Comprehensive Plan of Action (Iran Deal)
/m/02ykk6,Voting age
/m/02msl0,Flag desecration
/m/0261ltk,Term limits in the United States
/m/03f5k,LGBT rights
/m/021r13,Electoral fraud
/m/02pyf50,Offshore drilling
/m/04gtqb_,Prescription costs
/m/0172vx,Agricultural subsidies
/m/07gkc2,Labor Unions in the United States
/m/01cpp0,2003 Invasion of Iraq
/m/012kcf47,Drug testing welfare recipients
/m/0gg8dt5,Campus sexual assault
/m/0vxg5m2,PRISM
/m/05q6c7n,Economic stimulus
/m/03kd81,No fly list
/g/11bw7f8wfs,Russian military action in Syria
/m/0j25h9r,Women in combat
/m/0j9ngvh,Prison overcrowding
/m/0kfyqbx,LGBT adoption rights
/g/11cr_fpb5d,Dakota Access pipeline
/g/11c54g3f_4,U.S. national anthem protests
/m/0dyrrg,Israel boycott
/m/0qmy9,North Korea and weapons of mass destruction
/g/1q6jzlv5z,Single-payer healthcare
/m/06vr9mc,Gender workplace diversity
/m/0bnwspc,Transgender people in the military
/m/0307f5,Women's health
/g/125_jbb_z,Maternity leave in the United States
/m/0119w5fs,Legal history of cannabis in the United States
/m/01jwvm,National security
/m/0968r1,Welfare
/m/0n47q8y,DACA
/m/01pvyq,Private Prisons
/m/0281brg,Electronic Classroom of Tomorrow
/m/0wy1s7c,Charter schools
/m/0g45y,Free trade
/m/0ffnx,Tariff
/m/022v6s,Right to work
/g/11c2pjj736,Russian interference in the 2016 United States elections
/m/0576s1,Child tax credit
/m/05k4k,Natural gas
/m/02w0cf3,United States farm bill
/m/016hlc,Criminal justice
/g/11gybdd_q9,FIRST STEP Act
/g/11h23hkw_5,First Step Act
/m/01qsv6,Human trafficking
/g/11fd3psxgd,United States–Mexico–Canada Agreement
/m/06xgy,School choice
/m/0783rv,Paid Family Leave
/m/0m61,Antisemitism
